127.0.0.1 - - [09/Jul/2017:16:38:16 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [09/Jul/2017:16:38:20 +0530] "GET /FantezyFrontendProject/ HTTP/1.1" 200 8888
0:0:0:0:0:0:0:1 - - [09/Jul/2017:16:38:20 +0530] "GET /FantezyFrontendProject/resources/css/log.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jul/2017:16:38:20 +0530] "GET /FantezyFrontendProject/resources/css/Head.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jul/2017:16:38:20 +0530] "GET /resources/images/c.png HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [09/Jul/2017:16:38:58 +0530] "GET /FantezyFrontendProject/ HTTP/1.1" 200 8888
0:0:0:0:0:0:0:1 - - [09/Jul/2017:16:38:59 +0530] "GET /FantezyFrontendProject/resources/css/log.css HTTP/1.1" 200 2726
0:0:0:0:0:0:0:1 - - [09/Jul/2017:16:38:59 +0530] "GET /FantezyFrontendProject/resources/css/Head.css HTTP/1.1" 200 2034
0:0:0:0:0:0:0:1 - - [09/Jul/2017:16:38:59 +0530] "GET /resources/images/c.png HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [09/Jul/2017:16:39:02 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [09/Jul/2017:16:59:02 +0530] "GET /FantezyFrontendProject/? HTTP/1.1" 200 8897
0:0:0:0:0:0:0:1 - - [09/Jul/2017:16:59:02 +0530] "GET /FantezyFrontendProject/? HTTP/1.1" 500 -
0:0:0:0:0:0:0:1 - - [09/Jul/2017:16:59:04 +0530] "GET /FantezyFrontendProject/resources/css/Head.css HTTP/1.1" 200 2034
0:0:0:0:0:0:0:1 - - [09/Jul/2017:16:59:04 +0530] "GET /FantezyFrontendProject/resources/css/log.css HTTP/1.1" 200 2726
0:0:0:0:0:0:0:1 - - [09/Jul/2017:16:59:04 +0530] "GET /resources/images/c.png HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [09/Jul/2017:17:00:53 +0530] "GET /FantezyFrontendProject/? HTTP/1.1" 200 8889
0:0:0:0:0:0:0:1 - - [09/Jul/2017:17:00:53 +0530] "GET /FantezyFrontendProject/resources/css/log.css HTTP/1.1" 200 2726
0:0:0:0:0:0:0:1 - - [09/Jul/2017:17:00:53 +0530] "GET /resources/images/c.png HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [09/Jul/2017:17:00:53 +0530] "GET /FantezyFrontendProject/resources/css/Head.css HTTP/1.1" 200 2034
0:0:0:0:0:0:0:1 - - [09/Jul/2017:17:00:53 +0530] "GET /resources/images/c.png HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [09/Jul/2017:17:03:18 +0530] "GET /FantezyFrontendProject/? HTTP/1.1" 200 8872
0:0:0:0:0:0:0:1 - - [09/Jul/2017:17:03:18 +0530] "GET /FantezyFrontendProject/resources/css/log.css HTTP/1.1" 200 2726
0:0:0:0:0:0:0:1 - - [09/Jul/2017:17:03:18 +0530] "GET /resources/images/c.png HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [09/Jul/2017:17:03:18 +0530] "GET /FantezyFrontendProject/resources/css/Head.css HTTP/1.1" 200 2034
0:0:0:0:0:0:0:1 - - [09/Jul/2017:17:03:18 +0530] "GET /resources/images/c.png HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [09/Jul/2017:17:04:34 +0530] "GET /FantezyFrontendProject/? HTTP/1.1" 200 8876
0:0:0:0:0:0:0:1 - - [09/Jul/2017:17:04:34 +0530] "GET /FantezyFrontendProject/resources/css/log.css HTTP/1.1" 200 2726
0:0:0:0:0:0:0:1 - - [09/Jul/2017:17:04:34 +0530] "GET /resources/images/c.png HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [09/Jul/2017:17:04:34 +0530] "GET /FantezyFrontendProject/resources/css/Head.css HTTP/1.1" 200 2034
0:0:0:0:0:0:0:1 - - [09/Jul/2017:17:04:34 +0530] "GET /resources/images/c.png HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [09/Jul/2017:17:14:51 +0530] "GET /FantezyFrontendProject/? HTTP/1.1" 200 9802
0:0:0:0:0:0:0:1 - - [09/Jul/2017:17:14:51 +0530] "GET /FantezyFrontendProject/resources/css/Head.css HTTP/1.1" 200 2034
0:0:0:0:0:0:0:1 - - [09/Jul/2017:17:14:51 +0530] "GET /resources/images/c.png HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [09/Jul/2017:17:14:51 +0530] "GET /FantezyFrontendProject/resources/css/log.css HTTP/1.1" 200 2726
0:0:0:0:0:0:0:1 - - [09/Jul/2017:17:16:17 +0530] "GET /FantezyFrontendProject/? HTTP/1.1" 200 9775
0:0:0:0:0:0:0:1 - - [09/Jul/2017:17:16:17 +0530] "GET /FantezyFrontendProject/resources/css/Head.css HTTP/1.1" 200 2034
0:0:0:0:0:0:0:1 - - [09/Jul/2017:17:16:17 +0530] "GET /resources/images/c.png HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [09/Jul/2017:17:16:17 +0530] "GET /FantezyFrontendProject/resources/css/log.css HTTP/1.1" 200 2726
0:0:0:0:0:0:0:1 - - [09/Jul/2017:17:16:17 +0530] "GET /resources/images/c.png HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [09/Jul/2017:17:16:17 +0530] "GET /FantezyFrontendProject/webapp/resources/images/10.png HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [09/Jul/2017:17:16:37 +0530] "GET /FantezyFrontendProject/? HTTP/1.1" 200 8863
0:0:0:0:0:0:0:1 - - [09/Jul/2017:17:16:37 +0530] "GET /FantezyFrontendProject/resources/css/log.css HTTP/1.1" 200 2726
0:0:0:0:0:0:0:1 - - [09/Jul/2017:17:16:37 +0530] "GET /FantezyFrontendProject/resources/css/Head.css HTTP/1.1" 200 2034
0:0:0:0:0:0:0:1 - - [09/Jul/2017:17:16:37 +0530] "GET /resources/images/c.png HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [09/Jul/2017:17:16:37 +0530] "GET /resources/images/c.png HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [09/Jul/2017:17:17:04 +0530] "GET /FantezyFrontendProject/AboutUs HTTP/1.1" 200 5670
0:0:0:0:0:0:0:1 - - [09/Jul/2017:17:17:04 +0530] "GET /FantezyFrontendProject/resources/css/About.css HTTP/1.1" 200 826
0:0:0:0:0:0:0:1 - - [09/Jul/2017:17:17:04 +0530] "GET /FantezyFrontendProject/resources/css/Head.css HTTP/1.1" 200 2034
0:0:0:0:0:0:0:1 - - [09/Jul/2017:17:17:04 +0530] "GET /resources/images/c.png HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [09/Jul/2017:17:40:38 +0530] "GET /FantezyFrontendProject/displayProducts HTTP/1.1" 200 4119
0:0:0:0:0:0:0:1 - - [09/Jul/2017:17:40:38 +0530] "GET /FantezyFrontendProject/resources/css/Head.css HTTP/1.1" 200 2034
0:0:0:0:0:0:0:1 - - [09/Jul/2017:17:40:38 +0530] "GET /resources/images/c.png HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [09/Jul/2017:17:40:38 +0530] "GET /FantezyFrontendProject/resources/images/7.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [09/Jul/2017:17:40:38 +0530] "GET /FantezyFrontendProject/resources/images/10.jpg HTTP/1.1" 200 115579
0:0:0:0:0:0:0:1 - - [09/Jul/2017:17:40:38 +0530] "GET /FantezyFrontendProject/resources/images/13.jpg HTTP/1.1" 200 271041
0:0:0:0:0:0:0:1 - - [09/Jul/2017:17:40:50 +0530] "GET /FantezyFrontendProject/AboutUs HTTP/1.1" 200 5670
0:0:0:0:0:0:0:1 - - [09/Jul/2017:17:40:50 +0530] "GET /FantezyFrontendProject/resources/css/Head.css HTTP/1.1" 200 2034
0:0:0:0:0:0:0:1 - - [09/Jul/2017:17:40:50 +0530] "GET /FantezyFrontendProject/resources/css/About.css HTTP/1.1" 200 826
0:0:0:0:0:0:0:1 - - [09/Jul/2017:17:40:52 +0530] "GET /FantezyFrontendProject/? HTTP/1.1" 200 8863
0:0:0:0:0:0:0:1 - - [09/Jul/2017:17:40:52 +0530] "GET /FantezyFrontendProject/resources/css/log.css HTTP/1.1" 200 2726
0:0:0:0:0:0:0:1 - - [09/Jul/2017:17:40:52 +0530] "GET /FantezyFrontendProject/resources/css/Head.css HTTP/1.1" 200 2034
0:0:0:0:0:0:0:1 - - [09/Jul/2017:17:41:44 +0530] "GET /FantezyFrontendProject/? HTTP/1.1" 200 8869
0:0:0:0:0:0:0:1 - - [09/Jul/2017:17:41:44 +0530] "GET /FantezyFrontendProject/resources/css/log.css HTTP/1.1" 200 2726
0:0:0:0:0:0:0:1 - - [09/Jul/2017:17:41:44 +0530] "GET /FantezyFrontendProject/resources/css/Head.css HTTP/1.1" 200 2034
0:0:0:0:0:0:0:1 - - [09/Jul/2017:17:41:44 +0530] "GET /FantezyFrontendProject/webapp/resources/images/c.png HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [09/Jul/2017:17:41:44 +0530] "GET /FantezyFrontendProject/webapp/resources/images/c.png HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [09/Jul/2017:17:45:57 +0530] "GET /FantezyFrontendProject/? HTTP/1.1" 200 8871
0:0:0:0:0:0:0:1 - - [09/Jul/2017:17:45:58 +0530] "GET /FantezyFrontendProject/resources/css/Head.css HTTP/1.1" 200 2034
0:0:0:0:0:0:0:1 - - [09/Jul/2017:17:45:58 +0530] "GET /FantezyFrontendProject/resources/css/log.css HTTP/1.1" 200 2726
0:0:0:0:0:0:0:1 - - [09/Jul/2017:17:45:58 +0530] "GET /FantezyFrontendProject/webapp/resources/images/aaa.png HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [09/Jul/2017:17:46:45 +0530] "GET /FantezyFrontendProject/resources/css/log.css HTTP/1.1" 200 2726
0:0:0:0:0:0:0:1 - - [09/Jul/2017:17:46:45 +0530] "GET /FantezyFrontendProject/resources/css/Head.css HTTP/1.1" 200 2034
0:0:0:0:0:0:0:1 - - [09/Jul/2017:17:46:45 +0530] "GET /FantezyFrontendProject/? HTTP/1.1" 200 8865
0:0:0:0:0:0:0:1 - - [09/Jul/2017:17:46:45 +0530] "GET /resources/images/aaa.png HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [09/Jul/2017:17:46:45 +0530] "GET /resources/images/aaa.png HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [09/Jul/2017:17:48:24 +0530] "GET /FantezyFrontendProject/? HTTP/1.1" 200 8883
0:0:0:0:0:0:0:1 - - [09/Jul/2017:17:48:24 +0530] "GET /FantezyFrontendProject/resources/css/Head.css HTTP/1.1" 200 2034
0:0:0:0:0:0:0:1 - - [09/Jul/2017:17:48:24 +0530] "GET /resources/images/aaa.png HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [09/Jul/2017:17:48:24 +0530] "GET /FantezyFrontendProject/resources/css/log.css HTTP/1.1" 200 2726
0:0:0:0:0:0:0:1 - - [09/Jul/2017:17:48:24 +0530] "GET /resources/images/aaa.png HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [09/Jul/2017:17:49:00 +0530] "GET /FantezyFrontendProject/? HTTP/1.1" 200 8865
0:0:0:0:0:0:0:1 - - [09/Jul/2017:17:49:00 +0530] "GET /FantezyFrontendProject/resources/css/Head.css HTTP/1.1" 200 2034
0:0:0:0:0:0:0:1 - - [09/Jul/2017:17:49:00 +0530] "GET /resources/images/aaa.png HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [09/Jul/2017:17:49:00 +0530] "GET /FantezyFrontendProject/resources/css/log.css HTTP/1.1" 200 2726
0:0:0:0:0:0:0:1 - - [09/Jul/2017:17:49:00 +0530] "GET /resources/images/aaa.png HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [09/Jul/2017:17:50:06 +0530] "GET /FantezyFrontendProject/? HTTP/1.1" 200 8864
